id,shortName,firstName,middleName,lastName,height,weight,birthDate,passportArea.id,passportArea.name,name,code2,code3,foot,currentTeamId,currentNationalTeamId,gender,status,imageDataURL,age,bmi
845339,F. Smand,Floris,,Smand ,185,77,2003-01-20,528,Netherlands,Defender,DF,DEF,right,40,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-358001_100x130.png,20,22.5
822403,S. Karssies,Sam,,Karssies,186,78,2003-02-26,528,Netherlands,Goalkeeper,GK,GKP,right,16,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-335076_100x130.png,20,22.55
804588,P. Saathof,Pim,,Saathof,177,69,2003-12-28,528,Netherlands,Midfielder,MD,MID,right,31071,NA,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png,19,22.02
800078,R. Eyongo,Raphaël,,Eyongo,188,75,2003-05-21,528,Netherlands,Forward,FW,FWD,right,26,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-312765_100x130.png,20,21.22
792306,L. Valente,Luciano,,Valente,189,77,2003-10-04,380,Italy,Midfielder,MD,MID,right,21,3764,male,active,https://cdn5.wyscout.com/photos/players/public/g-304995_100x130.png,19,21.56
792411,J. Meijster,Jasper,,Meijster,188,75,2005-01-03,528,Netherlands,Goalkeeper,GK,GKP,NA,23564,NA,male,active,https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png,18,21.22
789323,J. Markelo,Jahnoah,,Guevara Markelo,171,68,2003-01-04,740,Suriname,Forward,FW,FWD,left,34,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-302012_100x130.png,20,23.26
814970,M. Smit,Milan,,Smit,180,75,2004-11-13,528,Netherlands,Forward,FW,FWD,right,40,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-327647_100x130.png,18,23.15
765326,B. Nieling,Bryant,,Nieling,193,82,2001-11-30,528,Netherlands,Defender,DF,DEF,left,44,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-278029_100x130.png,21,22.01
767065,K. van Oevelen,Kayne,,van Oevelen,199,82,2003-08-08,528,Netherlands,Goalkeeper,GK,GKP,right,25,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-279767_100x130.png,20,20.71
762390,M. Wolfs,Max,,Wolfs,190,85,2002-05-04,528,Netherlands,Goalkeeper,GK,GKP,NA,33,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-275095_100x130.png,21,23.55
759409,T. Noslin,Tijjani,,Noslin,182,79,1999-07-07,528,Netherlands,Forward,FW,FWD,right,44,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-272114_100x130.png,24,23.85
754666,S. van Duivenbooden,Simon,,van Duivenbooden,190,85,2002-05-11,710,South Africa,Forward,FW,FWD,right,24,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-267372_100x130.png,21,23.55
753158,G. de Regt,Gyan,,de Regt,175,68,2003-08-18,528,Netherlands,Forward,FW,FWD,right,24,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-265864_100x130.png,19,22.2
743479,L. Zeefuik,Lequincio,,Zeefuik,192,88,2004-11-26,740,Suriname,Forward,FW,FWD,right,25,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-256196_100x130.png,18,23.87
728551,R. Flamingo,Ryan,,Flamingo,186,77,2002-12-31,528,Netherlands,Defender,DF,DEF,right,24,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-241303_100x130.png,20,22.26
705702,M. Bruns,Max,,Bruns,183,67,2002-11-06,528,Netherlands,Defender,DF,DEF,right,16,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-218462_100x130.png,20,20.01
705471,S. Seymor,Serano,,Seymor,190,78,2002-01-04,528,Netherlands,Defender,DF,DEF,left,26,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-218231_100x130.png,21,21.61
699575,G. Gertsen,Guus,,Gertsen,189,77,2003-04-16,528,Netherlands,Defender,DF,DEF,NA,22,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-212337_100x130.png,20,21.56
684286,J. van der Meer,Jhondly,,van der Meer,183,74,2002-03-22,528,Netherlands,Defender,DF,DEF,right,40,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-197054_100x130.png,21,22.1
691895,A. Douiri,Achraf,,Douiri,180,72,1999-11-27,504,Morocco,Midfielder,MD,MID,right,25,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-204662_100x130.png,23,22.22
682289,S. Westerveld,Sem,,Westerveld,191,73,2002-07-18,528,Netherlands,Goalkeeper,GK,GKP,right,10,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-195058_100x130.png,21,20.01
681538,D. Sanches Fernandes,Derensili,,Sanches Fernandes,176,70,2001-05-28,528,Netherlands,Forward,FW,FWD,left,23568,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-194307_100x130.png,22,22.6
682286,Z. Buurmeester,Zico ,,Buurmeester,182,65,2002-06-07,528,Netherlands,Midfielder,MD,MID,right,364,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-195055_100x130.png,21,19.62
681985,Y. Schoonderwaldt,Youri,,Schoonderwaldt,195,83,2000-03-13,528,Netherlands,Goalkeeper,GK,GKP,left,29,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-194754_100x130.png,23,21.83
689441,P. Kuiper,Pascal,,Kuiper,194,83,2004-03-17,528,Netherlands,Goalkeeper,GK,GKP,right,26,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-202208_100x130.png,19,22.05
681103,C. Driouech,Couhaib,,Driouech,175,64,2002-04-17,504,Morocco,Forward,FW,FWD,right,26,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-193873_100x130.png,21,20.9
681102,D. Nunumete,Djenahro,,Nunumete,175,65,2002-01-28,528,Netherlands,Midfielder,MD,MID,left,13,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-193872_100x130.png,21,21.22
680503,B. Scholte,Ben,,Scholte,185,72,2001-08-10,528,Netherlands,Forward,FW,FWD,right,33,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-193273_100x130.png,21,21.04
681537,J. Baas,Julian,,Baas,184,77,2002-04-16,528,Netherlands,Midfielder,MD,MID,right,26,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-194306_100x130.png,21,22.74
703304,J. Eijgenraam,Joshua,,Eijgenraam,181,71,2001-02-18,528,Netherlands,Midfielder,MD,MID,right,26,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-216065_100x130.png,22,21.67
680289,T. van Leeuwen,Thijs,,van Leeuwen,175,67,2001-07-15,528,Netherlands,Forward,FW,FWD,right,16,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-193059_100x130.png,22,21.88
680288,D. Rots,Daan,,Rots,179,67,2001-07-25,528,Netherlands,Forward,FW,FWD,left,16,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-193058_100x130.png,22,20.91
680286,C. Staring,Casper,,Staring,186,78,2001-02-01,528,Netherlands,Midfielder,MD,MID,right,16,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-193056_100x130.png,22,22.55
680007,L. Wouters,Luuk,,Wouters,190,77,1999-06-08,528,Netherlands,Defender,DF,DEF,left,20,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-192777_100x130.png,24,21.33
679045,D. Huisman,Daan,,Huisman,189,63,2002-07-26,528,Netherlands,Midfielder,MD,MID,right,32,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-191817_100x130.png,21,17.64
678015,M. Lahdo,Mayckel,,Lahdo,180,76,2002-12-30,752,Sweden,Midfielder,MD,MID,right,10,7054,male,active,https://cdn5.wyscout.com/photos/players/public/g-190788_100x130.png,20,23.46
679046,E. Cornelisse,Enzo,,Cornelisse,185,72,2002-06-29,528,Netherlands,Defender,DF,DEF,left,24,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-191818_100x130.png,21,21.04
671253,P. Wålemark,Patrik,,Wålemark,184,75,2001-10-14,752,Sweden,Forward,FW,FWD,left,12,7047,male,active,https://cdn5.wyscout.com/photos/players/public/g-184045_100x130.png,21,22.15
661732,Sávio,Sávio ,,Moreira de Oliveira,176,71,2004-04-10,76,Brazil,Forward,FW,FWD,left,11,6388,male,active,https://cdn5.wyscout.com/photos/players/public/g-176084_100x130.png,19,22.92
660856,R. Balk,Remco,,Balk,176,65,2001-03-02,528,Netherlands,Forward,FW,FWD,right,40,NA,male,active,https://cdn5.wyscout.com/photos/players/public/g-175210_100x130.png,22,20.98
