"","mpg","milage","maketype","car_id","region","year","price","link","make","type","dealer","sold","scrapedate"
"1","21.6",18000,"Toyota Yaris 1,5 VVT-iE T3 Smart 5d","5559177","København",2019,169900,"https://bilbasen.dk/brugt/bil/toyota/yaris/15-vvt-ie-t3-smart-5d/5559177","Toyota","Yaris","cc0e2a10-86c4-4047-8106-68131152b5d5",0,"2022-11-08 22:29:38.772658"
"2","20.4",254000,"Ford Ka 1,2 Trend 3d","4367512","Nordjylland",2011,34900,"https://bilbasen.dk/brugt/bil/ford/ka/12-trend-3d/4367512","Ford","Ka","824329c5-6f22-40d0-b252-073e75246f98",0,"2022-11-08 22:29:38.772658"
"3","",51000,"Ford Mustang 4,7 V8 289cui. 2d","5506605","København",1965,245000,"https://bilbasen.dk/brugt/bil/ford/mustang/47-v8-289cui-2d/5506605","Ford","Mustang",NA,0,"2022-11-08 22:29:38.772658"
"4","13.9",246000,"Toyota Avensis 1,8 VVT-i Sol stc. 5d","5518799","København",2004,29999,"https://bilbasen.dk/brugt/bil/toyota/avensis/18-vvt-i-sol-stc-5d/5518799","Toyota","Avensis","1ed4283a-6467-41e6-bb49-ac3730a80987",0,"2022-11-08 22:29:38.772658"
"5","17.9",97000,"Volvo V40 2,0 T2 122 Momentum Eco 5d","5604536","Nordjylland",2017,199900,"https://bilbasen.dk/brugt/bil/volvo/v40/20-t2-122-momentum-eco-5d/5604536","Volvo","V40","486d4395-cb1a-4afe-b8c3-7bcad705d450",0,"2022-11-08 22:29:38.772658"
"6","16.9",139000,"Ford Focus 1,6 Ti-VCT 105 Trend 5d","5453000","Fyn",2012,74900,"https://bilbasen.dk/brugt/bil/ford/focus/16-ti-vct-105-trend-5d/5453000","Ford","Focus","NA",0,"2022-11-08 22:29:38.772658"
"7","20.4",124000,"Ford B-MAX 1,0 SCTi 125 Titanium 5d","5575903","Syd- og Sønderjylland",2015,119900,"https://bilbasen.dk/brugt/bil/ford/b-max/10-scti-125-titanium-5d/5575903","Ford","B-MAX",NA,0,"2022-11-08 22:29:38.772658"
"8","15.4",136000,"Toyota Avensis 1,8 VVT-i T2 Premium Touring Sports 5d","5625031","Syd- og Vestsjælland",2016,194900,"https://bilbasen.dk/brugt/bil/toyota/avensis/18-vvt-i-t2-premium-touring-sports-5d/5625031","Toyota","Avensis","9ea19f51-f175-4d3d-8744-a55f2ce1f548",0,"2022-11-08 22:29:38.772658"
"9","26.8",10000,"Ford Fiesta 1,0 EcoBoost Titanium X 5d","5518776","Nordsjælland",2020,169700,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-ecoboost-titanium-x-5d/5518776","Ford","Fiesta","631c3a6e-d1cd-430d-9985-05ae242d40ef",0,"2022-11-08 22:29:38.772658"
"10","18.3",47000,"Ford Fiesta 1,5 EcoBoost ST3 5d","5529571","København",2019,259900,"https://bilbasen.dk/brugt/bil/ford/fiesta/15-ecoboost-st3-5d/5529571","Ford","Fiesta","3c9baa99-af82-4405-be74-f782825b3412",0,"2022-11-08 22:29:38.772658"
"11","28.9",32000,"Toyota Aygo 1,0 VVT-i x-style 5d","5604497","Østjylland",2019,104900,"https://bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-x-style-5d/5604497","Toyota","Aygo",NA,0,"2022-11-08 22:29:38.772658"
"12","14.9",28000,"Toyota Corolla 1,4 Luna 4d","5391868","Syd- og Vestsjælland",2007,89900,"https://bilbasen.dk/brugt/bil/toyota/corolla/14-luna-4d/5391868","Toyota","Corolla","bbf80f64-7994-499b-88c3-f8656e19ce83",0,"2022-11-08 22:29:38.772658"
"13","19.8",34000,"Ford Puma 1,0 EcoBoost Titanium DCT 5d","5604482","Syd- og Sønderjylland",2021,279500,"https://bilbasen.dk/brugt/bil/ford/puma/10-ecoboost-titanium-dct-5d/5604482","Ford","Puma","ff12e58b-937a-494b-9cef-8bdb2f1e61ea",0,"2022-11-08 22:29:38.772658"
"14","15.4",96000,"Ford C-MAX 1,5 SCTi 182 Titanium aut. 5d","5518754","København",2017,169800,"https://bilbasen.dk/brugt/bil/ford/c-max/15-scti-182-titanium-aut-5d/5518754","Ford","C-MAX","NA",0,"2022-11-08 22:29:38.772658"
"15","25.8",2000,"Toyota Aygo X 1,0 Active 5d","5459230","København",2022,144990,"https://bilbasen.dk/brugt/bil/toyota/aygo-x/10-active-5d/5459230","Toyota","Aygo","75d7e816-ab95-42c1-a0a2-075b589b46bf",0,"2022-11-08 22:29:38.772658"
"16","19.0",56000,"Ford Focus 1,0 EcoBoost Titanium stc. aut. 5d","5574546","København",2019,244900,"https://bilbasen.dk/brugt/bil/ford/focus/10-ecoboost-titanium-stc-aut-5d/5574546","Ford","Focus","3c9baa99-af82-4405-be74-f782825b3412",0,"2022-11-08 22:29:38.772658"
"17","23.3",174200,"Ford Fiesta 1,0 SCTi 125 Titanium 5d","5590255","Syd- og Vestsjælland",2013,69900,"https://bilbasen.dk/brugt/bil/ford/fiesta/10-scti-125-titanium-5d/5590255","Ford","Fiesta","9ea19f51-f175-4d3d-8744-a55f2ce1f548",0,"2022-11-08 22:29:38.772658"
"18","26.3",136000,"Toyota Aygo 1,0 VVT-i x-press 5d","5596702","Nordsjælland",2017,64900,"https://bilbasen.dk/brugt/bil/toyota/aygo/10-vvt-i-x-press-5d/5596702","Toyota","Aygo","0a5d2a2f-6945-469a-ad8a-02060d1246fd",0,"2022-11-08 22:29:38.772658"
"19","22.4",5000,"Ford Puma 1,0 EcoBoost mHEV Titanium 5d","5518719","Syd- og Vestsjælland",2022,269500,"https://bilbasen.dk/brugt/bil/ford/puma/10-ecoboost-mhev-titanium-5d/5518719","Ford","Puma","c91453f0-3a43-4ce5-88ca-8572574ebfec",0,"2022-11-08 22:29:38.772658"
