"","id","shortName","firstName","middleName","lastName","height","weight","birthDate","passportArea.id","passportArea.name","name","code2","code3","foot","currentTeamId","currentNationalTeamId","gender","status","imageDataURL","age"
"1",845339,"F. Smand","Floris",NA,"Smand ",185,77,"2003-01-20",528,"Netherlands","Defender","DF","DEF","right",40,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/g-358001_100x130.png",20
"2",822403,"S. Karssies","Sam",NA,"Karssies",186,78,"2003-02-26",528,"Netherlands","Goalkeeper","GK","GKP","right",16,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/g-335076_100x130.png",20
"3",804588,"P. Saathof","Pim",NA,"Saathof",177,69,"2003-12-28",528,"Netherlands","Midfielder","MD","MID","right",31071,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png",19
"4",800078,"R. Eyongo","Raphaël",NA,"Eyongo",188,75,"2003-05-21",528,"Netherlands","Forward","FW","FWD","right",26,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/g-312765_100x130.png",20
"5",792306,"L. Valente","Luciano",NA,"Valente",189,77,"2003-10-04",380,"Italy","Midfielder","MD","MID","right",21,3764,"male","active","https://cdn5.wyscout.com/photos/players/public/g-304995_100x130.png",19
"6",792411,"J. Meijster","Jasper",NA,"Meijster",188,75,"2005-01-03",528,"Netherlands","Goalkeeper","GK","GKP",NA,23564,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/ndplayer_100x130.png",18
"7",789323,"J. Markelo","Jahnoah",NA,"Guevara Markelo",171,68,"2003-01-04",740,"Suriname","Forward","FW","FWD","left",34,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/g-302012_100x130.png",20
"8",814970,"M. Smit","Milan",NA,"Smit",180,75,"2004-11-13",528,"Netherlands","Forward","FW","FWD","right",40,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/g-327647_100x130.png",18
"9",765326,"B. Nieling","Bryant",NA,"Nieling",193,82,"2001-11-30",528,"Netherlands","Defender","DF","DEF","left",44,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/g-278029_100x130.png",21
"10",767065,"K. van Oevelen","Kayne",NA,"van Oevelen",199,82,"2003-08-08",528,"Netherlands","Goalkeeper","GK","GKP","right",25,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/g-279767_100x130.png",20
"11",762390,"M. Wolfs","Max",NA,"Wolfs",190,85,"2002-05-04",528,"Netherlands","Goalkeeper","GK","GKP",NA,33,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/g-275095_100x130.png",21
"12",759409,"T. Noslin","Tijjani",NA,"Noslin",182,79,"1999-07-07",528,"Netherlands","Forward","FW","FWD","right",44,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/g-272114_100x130.png",24
"13",754666,"S. van Duivenbooden","Simon",NA,"van Duivenbooden",190,85,"2002-05-11",710,"South Africa","Forward","FW","FWD","right",24,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/g-267372_100x130.png",21
"14",753158,"G. de Regt","Gyan",NA,"de Regt",175,68,"2003-08-18",528,"Netherlands","Forward","FW","FWD","right",24,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/g-265864_100x130.png",19
"15",743479,"L. Zeefuik","Lequincio",NA,"Zeefuik",192,88,"2004-11-26",740,"Suriname","Forward","FW","FWD","right",25,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/g-256196_100x130.png",18
"16",728551,"R. Flamingo","Ryan",NA,"Flamingo",186,77,"2002-12-31",528,"Netherlands","Defender","DF","DEF","right",24,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/g-241303_100x130.png",20
"17",705702,"M. Bruns","Max",NA,"Bruns",183,67,"2002-11-06",528,"Netherlands","Defender","DF","DEF","right",16,NA,"male","active","https://cdn5.wyscout.com/photos/players/public/g-218462_100x130.png",20
